,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
5,0.782855263157895,0.651570555438024,0.785473684210526,0.655425413608428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.782855263157895,0.651570555438024,0.784223684210526,0.65594210299381,0.777092105263158,0.641930422315515,0.772223684210526,0.641313468469812,0.783263157894737,0.652457369295746,0.783460526315789,0.652714917075396,0.774447368421053,0.640672612847545,0.774407894736842,0.640450072076031,,,,,,,,,,,,,,,,
2,0.782855263157895,0.651570555438024,0.779381578947368,0.650476626619615,0.776434210526316,0.645452805622569,0.778894736842105,0.651231654251162,0.777736842105263,0.644351215301952,0.777960526315789,0.644639159157512,0.765842105263158,0.614859880107183,0.766315789473684,0.615721737851532,,,,,,,,,,,,,,,,
3,0.782855263157895,0.651570555438024,0.780407894736842,0.652038612936323,0.773394736842105,0.639768781004645,0.774723684210526,0.64314203523243,0.780447368421053,0.652056381334647,0.7805,0.652162853137956,0.776776315789474,0.637582727631371,0.776789473684211,0.637614040762685,,,,,,,,,,,,,,,,
4,0.782855263157895,0.651570555438024,0.783105263157895,0.656084431552126,0.774763157894737,0.638810778404346,0.778131578947368,0.65221554232721,0.783105263157895,0.655844014219417,0.783118421052632,0.65585856965512,0.768118421052632,0.633082936781899,0.768105263157895,0.633065945901854,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,UKB OUTPUTS,,,,,,,,,,,,,,,,,,,,,,,,,
,0.463142857142857,NA,0.474285714285714,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.70777175897748,0.182757069261695,0.620094796104687,0.151616281029137,0.561824863055386,0.142071191430398,0.634569080949483,0.153544549516905,0.61898912051126,0.150530379281788,0.618945374315277,0.150511495295326,0.610943244065733,0.148122348521249,0.610914257455873,0.148120745075901,,,,,,,,,,,,,,,,
,0.70777175897748,0.182757069261695,0.638282334144857,0.159170645474857,0.553437157638466,0.143343742440837,0.604082775410834,0.151971779720306,0.639287964090079,0.157958089231624,0.639854001825928,0.157989138134058,0.620035986001217,0.148160051356334,0.620667376749848,0.148195598581091,,,,,,,,,,,,,,,,
,0.70777175897748,0.182757069261695,0.626441722458917,0.154124431251169,0.481221393791844,0.134042299474056,0.557647900182593,0.144178153018953,0.626598447961047,0.154118265351559,0.62678804017042,0.154127285465758,0.654513770541692,0.160147652497093,0.654664485696896,0.160150983395759,,,,,,,,,,,,,,,,
,0.70777175897748,0.182757069261695,0.60900273889227,0.150315699657087,0.41551361838101,0.123419525816336,0.648653530127815,0.155132228892986,0.608777084601339,0.150150432870114,0.61050996652465,0.150228648862049,0.582687233718807,0.143088635195635,0.584429017041996,0.143150455037622,,,,,,,,,,,,,,,,
