,,,train_0.01,val_0.01,test_0.01,train_0.005,val_0.005,test_0.005
MC_dropout_quicknat_diabetes_status,diabetes_status,0,0.8482474226804123,0.7882395382395382,0.7368053411780372,0.8484536082474227,0.788059163059163,0.7367547228628327
MC_dropout_quicknat_diabetes_status_liver_seg_reg_iou,diabetes_status_liver_seg_reg_iou,0,0.8424742268041236,0.7994227994227995,0.7396939899641057,0.8488659793814433,0.8033910533910533,0.7385059349785421
MC_dropout_quicknat_diabetes_status_with_liver_seg_and_iou,diabetes_status_with_liver_seg_and_iou,0,0.8734020618556702,0.7931096681096681,0.6986973160943543,0.8738144329896906,0.7931096681096681,0.6982009690872661
MC_dropout_quicknat_diabetes_status_with_liver_seg_dot_iou,diabetes_status_with_liver_seg_dot_iou,0,0.8748453608247422,0.6982323232323233,0.6880597523107375,0.8742268041237113,0.6902958152958154,0.6848295623066819
MC_dropout_quicknat_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.8635051546391752,0.7941919191919191,0.7236556259722651,0.8635051546391752,0.7940115440115441,0.7234605676514918
et_KORA_processed_diabetes_status,diabetes_status,0,0.8482474226804123,,,0.8484536082474227,,
et_KORA_processed_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.8655670103092783,,,0.8657731958762886,,
full_bayesian_0dot01_diabetes_status,diabetes_status,0,0.8482474226804123,0.7882395382395382,,0.8484536082474227,0.788059163059163,
full_bayesian_0dot01_diabetes_status_liver_seg_reg_iou,diabetes_status_liver_seg_reg_iou,0,0.8397938144329897,0.7929292929292929,,0.8472164948453608,0.8024891774891775,
full_bayesian_0dot01_diabetes_status_with_liver_seg_and_iou,diabetes_status_with_liver_seg_and_iou,0,0.8676288659793815,0.8176406926406926,,0.8678350515463917,0.8176406926406926,
full_bayesian_0dot01_diabetes_status_with_liver_seg_dot_iou,diabetes_status_with_liver_seg_dot_iou,0,0.8723711340206185,0.8165584415584416,,0.8723711340206185,0.8169191919191919,
full_bayesian_0dot01_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.7863917525773195,0.7617243867243868,,0.8550515463917526,0.8037518037518037,
hierarchical_quicknat_diabetes_status,diabetes_status,0,0.8482474226804123,0.7882395382395382,0.7368053411780372,0.8484536082474227,0.788059163059163,0.7367547228628327
hierarchical_quicknat_diabetes_status_liver_seg_reg_iou,diabetes_status_liver_seg_reg_iou,0,0.8468041237113402,0.8012265512265512,0.7381300429158572,0.8509278350515463,0.806998556998557,0.7280682719255238
hierarchical_quicknat_diabetes_status_with_liver_seg_and_iou,diabetes_status_with_liver_seg_and_iou,0,0.867422680412371,0.812049062049062,0.6613179223640644,0.8663917525773195,0.8127705627705628,0.6584436494821648
hierarchical_quicknat_diabetes_status_with_liver_seg_dot_iou,diabetes_status_with_liver_seg_dot_iou,0,0.8680412371134022,0.8136724386724387,0.7020910130926656,0.8688659793814433,0.8154761904761905,0.6949903000478188
hierarchical_quicknat_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.8610309278350515,0.8055555555555556,0.7057993910669644,0.8610309278350515,0.8053751803751804,0.7055632479253301
probabilistic_quicknat_diabetes_status,diabetes_status,0,0.8482474226804123,0.7882395382395382,0.7368053411780372,0.8484536082474227,0.788059163059163,0.7367547228628327
probabilistic_quicknat_diabetes_status_liver_seg_reg_iou,diabetes_status_liver_seg_reg_iou,0,0.8484536082474227,0.8051948051948051,0.7371725320355675,0.8511340206185567,0.8082611832611832,0.72743421888903
probabilistic_quicknat_diabetes_status_with_liver_seg_and_iou,diabetes_status_with_liver_seg_and_iou,0,0.8705154639175258,0.8124098124098125,0.673573758981157,0.8705154639175257,0.8116883116883117,0.6681785578092937
probabilistic_quicknat_diabetes_status_with_liver_seg_dot_iou,diabetes_status_with_liver_seg_dot_iou,0,0.8705154639175258,0.8152958152958153,0.7079791564522084,0.8738144329896907,0.8185425685425686,0.6968478938543767
probabilistic_quicknat_diabetes_status_with_liver_seg_volumes,diabetes_status_with_liver_seg_volumes,0,0.7911340206185568,0.7617243867243868,0.7077426728286331,0.8583505154639175,0.8059163059163059,0.7130987942399535
