feats,coeff,p_value
age,0.008856534487717766,1.2329376609901452e-15
height,0.0027353862786670775,8.371144579572641e-14
sex,0.6153846153846154,4.4801107255997347e-14
weight,0.006075705518886311,5.5528601730148e-17
smoker_former,0.5147058823529411,1.9344749135273817e-07
smoker_irregular,0.3333333333333333,0.23949189774139443
smoker_non-smoker,0.423076923076923,0.00025234186209540315
smoker_regular,0.5000000000000001,0.003555895314801805
smoking-packages,0.014308339206373947,1.9775507536438366e-05
bmi-who_normal,0.1904761904761904,0.14601525162097076
bmi-who_obesity class I,0.7096774193548389,1.4659720785218597e-06
bmi-who_obesity class II,1.2499999999999996,1.911151351617097e-05
bmi-who_obesity class III,1.1428571428571426,0.0002880045779789357
bmi-numeric,0.018093803405777514,4.293248430843496e-17
bmi-who_pre-obisety,0.3692307692307693,0.00036083260883449546
blood-pressure-diastolic,0.006424174955338938,5.679943662628223e-15
blood-pressure-systolic,0.004140504895889711,5.125999348674688e-16
cholesterol-hdl,0.005701107646167186,2.3418581039101577e-08
cholesterol-ldl,0.0033485408665180974,5.736999999051542e-14
cholesterol-total,0.002149753735915653,7.711018007922525e-14
mri-liver-fat-artifacts,0.0,1.0
mri-liver-fat-lobus-dexter,0.052596876168382045,1.6279768701329862e-27
mri-liver-fat-lobus-sinister,0.060429688256705624,3.718347142724307e-27
mri-liver-fat-portal-vein,0.050411857404590824,1.400837935498583e-23
alcohol-g/day,0.010694432393034924,2.3318492530077983e-06
hba1c-mmol/mol,0.014306429935629906,9.235503777338e-20
hba1c-percentage,0.09299189954775902,1.4804639845287873e-17
meds-antidiabetic,2.0,1.395197990184697e-18
meds-antihypertensive,0.8717948717948718,5.302536869921254e-12
meds-incretin-mimetics,2.0,0.017839517091313907
meds-insulin-therapy,0.0,
meds-lipoprotein-lowering,1.1999999999999997,8.658310192509595e-09
meds-oral-antidiabetic,2.0,1.395197990184697e-18
triglyceride,0.0033981461119740094,9.838495328852592e-23
hypertension,0.9056603773584908,2.5723336110208206e-18
seg_liver,2.689011700998265e-05,3.883973739830892e-14
seg_spleen,3.719377016868721e-06,3.136500979618389e-17
